SaoText
SaoStartNumber
SaoStartSuffix
SaoEndNumber
SaoEndSuffix
PaoText
PaoStartNumber
PaoStartSuffix
PaoEndNumber
PaoEndSuffix
Street
PostTown
AdministrativeArea
Postcode
